Field,Type,Required,Request or Generated,Currently Enforced,Used In,Notes
manifest_version,const "v1",yes,generated,schema only,,Always "v1"
run_id,string,yes,could be generated,yes,"server, runner",Identifies the run; could be autogenerated
created_at,date-time,yes,generated,no,resolver,Timestamp of resolution
model.source,"string (hf://Org/Model)",yes,request,yes,"server (--model), resolver",Which model to load
model.requested_revision,string,no,request,no,resolver,Optional branch/tag hint from user
model.resolved_revision,string (sha1),yes,generated,yes,"server (--revision), resolver",Exact HF commit SHA
model.weights_revision,string (sha1),yes,generated,no,resolver,"Same as resolved_revision in practice; redundant"
model.tokenizer_revision,string (sha1),yes,generated,yes,"server (--tokenizer-revision), resolver","Same as resolved_revision in practice; redundant"
model.trust_remote_code,boolean,yes,request,yes,"server (--trust-remote-code), resolver",User opts in to custom code execution
model.remote_code.commit,string (sha1),conditional,generated,no,resolver,Pinned remote code commit (required if trust_remote_code=true)
model.remote_code.uri,string,conditional,generated,no,resolver,Where the remote code lives
model.remote_code.digest,string (sha256),conditional,generated,no,resolver,SHA256 of remote code content
model.required_files[].role,enum,yes,generated,no,resolver,"weights_shard, config, tokenizer, etc."
model.required_files[].path,string,yes,generated,no,resolver,File path within the HF repo
model.required_files[].uri,string,yes,generated,no,resolver,Download URI
model.required_files[].digest,string (sha256),yes,generated,no,resolver,Per-file SHA256; NOT verified at serve time
model.required_files[].size_bytes,integer,yes,generated,no,resolver,File size
runtime.serving_engine.max_model_len,integer,yes,request,yes,server (--max-model-len),Context window; requests validated against this
runtime.serving_engine.max_num_seqs,integer,yes,request,yes,server (--max-num-seqs),Max concurrent sequences
runtime.serving_engine.gpu_memory_utilization,number (0.1-1.0),yes,request,yes,server (--gpu-memory-utilization),Fraction of GPU memory for KV cache
runtime.serving_engine.dtype,enum,yes,request,yes,server (--dtype),"auto, float16, bfloat16, float32"
runtime.serving_engine.attention_backend,enum,yes,request,yes,server (--attention-backend),"FLASH_ATTN, TRITON_ATTN, etc."
runtime.batch_invariance.enabled,boolean,yes,request,yes,server (VLLM_BATCH_INVARIANT env),Enables batch-invariant mode
runtime.batch_invariance.enforce_eager,boolean,yes,request,yes,server (--enforce-eager),Disables CUDA graphs
runtime.deterministic_knobs.seed,integer,yes,request,yes,"server (--seed), runner",Global random seed
runtime.deterministic_knobs.torch_deterministic,boolean,yes,request,yes (runner only),runner,torch.use_deterministic_algorithms(True)
runtime.deterministic_knobs.cuda_launch_blocking,boolean,yes,request,yes,server (CUDA_LAUNCH_BLOCKING env),Synchronous CUDA launches
runtime.batch_cardinality.target_batch_size,integer,yes,request,partially,"runner, capture",Controls batching; not directly enforced by server
runtime.batch_cardinality.min_requests,integer,yes,request,no,schema only,Minimum batch size declaration
runtime.batch_cardinality.max_requests,integer,yes,request,no,schema only,Maximum batch size declaration
runtime.batch_policy,enum,yes,request,no,"capture, runner","fixed or queued_fixed; recorded in bundle"
runtime.engine_trace.enabled,boolean,yes,request,partially,runner,Controls which engine events are logged
runtime.engine_trace.events,array,yes,request,partially,runner,"batch_composition, request_reorder, etc."
runtime.nix_pin.flake_ref,string,yes,generated,no,not consumed,Which Nix flake built the closure; NOT verified
runtime.nix_pin.flake_hash,string (sha256),yes,generated,no,not consumed,SHA256 of flake inputs; NOT verified
runtime.strict_hardware,boolean,yes,request,yes,"server, runner",If true hardware mismatches are fatal
runtime.allow_non_reproducible_egress,boolean,yes,request,no,schema conditional,Required true when security_mode=tls; not consumed
hardware_profile.gpu.vendor,const "nvidia",yes,request,schema only,,Always nvidia
hardware_profile.gpu.model,string,yes,request,yes,server,Validated against actual GPU name (substring)
hardware_profile.gpu.count,integer,yes,request,yes,server,Validated against actual device count
hardware_profile.gpu.driver_version,string,yes,mixed,no,"runner (recorded)",Host kernel driver; worth tracking but can't control
hardware_profile.gpu.cuda_driver_version,string,yes,mixed,no,schema only,CUDA driver version; not checked at runtime
hardware_profile.gpu.pci_ids,array of strings,yes,generated,no,schema only,"Physical slot assignments; differs per machine; arguably shouldn't exist"
hardware_profile.nic.model,string,yes,request,partially,runner,NIC conformance check
hardware_profile.nic.pci_id,string,yes,generated,no,runner,"Physical slot; same problem as gpu.pci_ids"
